NAME OF CHURCH,CITY,COUNTY,STATE,"CITY, COUNTY, STATE",SOURCE,ASSOCIATION,YEAR,PASTOR,CLERK,# OF MEMBERS,POST OFFICE,YEAR ORGANIZED,DELEGATES,DELEGATES,DELEGATES,DELEGATES
Jerusalem,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1895,BCBA,1895,"Jones, B.","Wartman, J. W.",84,South Hill,,,,,
Mt. Olive,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1895,BCBA,1895,"Johnson, H.","Watkins, Bettie",52,Clarksville,,,,,
Greenwood,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1895,BCBA,1895,"Yancy, R. C.","Goode, W. H.",141,Inca,,,,,
St. Douglass,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1895,BCBA,1895,"Tharp, L. T.","Puryear, J.",44,Boydton,,,,,
Beautiful Plain,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1895,BCBA,1895,"Johnson, N. C.","Wharton, Geo. D.",162,Averett,,,,,
Amity,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1895,BCBA,1895,"Baskerville, J. S.","Simmons, C. R.",106,South Hill,,,,,
St. Level,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1895,BCBA,1895,"Wilson, L. N.","Moody, R.",157,Abbyville,,,,,
Mt. Zion,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1895,BCBA,1895,"Pool, J. B.","Somerville, J.",197,Clarksville,,,,,
St. Luke,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1895,BCBA,1895,"Jeffress, J. S.","Young, J. R.",70,Skipwith,,,,,
Berean,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1895,BCBA,1895,"Thomas, J. W.","Burwell, J.",130,Finneywood,,,,,
St. Mark,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1895,BCBA,1895,"Jeffress, J. S.","Boon, M. F.",67,Buffalo Springs,,,,,
Mt. Pleasant,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1895,BCBA,1895,"Ruffin, B. J.","Birdy, W. H.",35,Boydton,,,,,
Sharon,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1895,BCBA,1895,"Bagby, N. C.","Farrar, Thomas",229,Baskerville,,,,,
Mt. Ararat,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1895,BCBA,1895,"Johnson, Harvey","Morson, R",116,Clarksville,,,,,
Cherry Hill,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1895,BCBA,1895,"Moseley, J.","Pool, J. S.",382,Buffalo Springs,,,,,
Rocky Mount,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1895,BCBA,1895,"Ruffin, B. J.","Goode, A.",75,Skipwith,,,,,
Bloom Hill,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1895,BCBA,1895,"Jones, Isaac","Baskerville, W. H.",94,Union Level,,,,,
Lone Oak,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1895,BCBA,1895,"Bagby, N. C.","Williams, Z. W.",423,Muckross,,,,,
St. Mathew,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1895,BCBA,1895,"Jeffress, J. S.","Lee, Thomas",86,Jeffress,,,,,
Venture's Grove,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1895,BCBA,1895,,,,,,,,,
Salem,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1895,BCBA,1895,"Moseley, J.","Moseley, E.",1066,Red Oak Grove,,,,,
Mt. Ellis,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1895,BCBA,1895,"Jordan, N.","Bailey, L.",498,Keysville,,,,,
Morrison Grove,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1895,BCBA,1895,"Hall, F. L.","Holcomb, T. W.",817,Smithville,,,,,
Shiloh,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1895,BCBA,1895,"Anderson, P. E.","Seymore, F. J.",110,Dupree's Store,,,,,
First Baptist Church,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1895,BCBA,1895,"Wilson, L. N.","Elam, James",73,Wylliesburg,,,,,
Mt. Olive,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1895,BCBA,1895,"Ward, John","Lewis, T. A.",18,Drake's Branch,,,,,
St. Michael,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1895,BCBA,1895,"Hall, F. L.","Dupuy, George",267,Drake's Branch,,,,,
Organ Hill,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1895,BCBA,1895,"Daniel, Edward","Harris, Sam",66,Drake's Branch,,,,,
Piney Grove,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1895,BCBA,1895,"Ruffin, B. J.","Smith, J. M.",160,Randolph,,,,,
Union Baptist,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1895,BCBA,1895,"Clark, W.","Wilson, J. C.",19,Keysville,,,,,
Mt. Mitchell,,LUNENEBURG,Virginia,Lunenburg,BCBA Minutes 1895,BCBA,1895,"Henderson, S. S.","Hankins, L. T.",304,Fort Mitchell,,,,,
Tussekiah,,LUNENEBURG,Virginia,Lunenburg,BCBA Minutes 1895,BCBA,1895,"Almond, J. W. T.","Hicks, L. E.",245,"Lunenburg, C. H.",,,,,
Forest,,PRINCE EDWARD,Virginia,Prince Edward,BCBA Minutes 1895,BCBA,1895,"Hall, F. L.","Read, I. W.",686,Meherrin,,,,,
New Bethel,,PRINCE EDWARD,Virginia,Prince Edward,BCBA Minutes 1895,BCBA,1895,"Anderson, P. E.","Booker, S. M.",150,Briery,,,,,
Bethlehem,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1896,BCBA,1896,"Yancy, R. C.","Davis, C. W.",639,Chase City,,,,,
Mt. Zion,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1896,BCBA,1896,"Pool, J. B.","Somerville, J.",203,Clarksville,,,,,
Lombardy Grove,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1896,BCBA,1896,"Jones, I.","Smith, Chas.",81,Smith's X Roads,,,,,
Mt. Pleasant,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1896,BCBA,1896,"Ruffin, B. J.","Goode, James",43,Boydton,,,,,
Berean,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1896,BCBA,1896,"Thomas, J. W.","Burwell, J.",104,Finneywood,,,,,
Greenwood,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1896,BCBA,1896,"Yancy, R. C.","Goode, W. H.",133,Inca,,,,,
Holly Grove,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1896,BCBA,1896,"Baskerville, J. L.","Person, J.",40,Joyceville,,,,,
New Liberty,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1896,BCBA,1896,"Moseley, J.","Hays, W. H.",320,Jeffress,,,,,
St. Level,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1896,BCBA,1896,"Wilson, L. N.","Carter, C. H.",178,Abbyville,,,,,
Cherry Hill,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1896,BCBA,1896,"Moseley, J.","Pool, J. S.",370,Buffalo Springs,,,,,
Sharon,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1896,BCBA,1896,"Tharp, L. T.","Farrar, Thomas",210,Baskerville,,,,,
Hay's Grove,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1896,BCBA,1896,"Baskerville, J. L.","Jones, J. A. W.",12,Union Level,,,,,
Bloom Hill,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1896,BCBA,1896,"Jones, I.",T. J. B.,,Union Level,,,,,
Jerusalem,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1896,BCBA,1896,,"Wartman, J. W.",,South Hill,,,,,
Mt. Ararat,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1896,BCBA,1896,"Johnson, H.","Scott, C. H.",129,Clarksville,,,,,
St. Mark,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1896,BCBA,1896,"Jeffress, James","Harris, R. B.",70,Buffalo Springs,,,,,
Rocky Mount,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1896,BCBA,1896,"Ruffin, B. J.","Goode, A. K.",96,Skipwith,,,,,
St. Paul,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1896,BCBA,1896,"Yancy, R. C.","Goode, A. J.",309,Boydton,,,,,
St. John,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1896,BCBA,1896,"Moseley, J.","Skipwith, V. L.",145,Clarksville,,,,,
Bluestone,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1896,BCBA,1896,"Jeffress, J. S.","Powell, J. L.",310,Hanford,,,,,
Beautiful Plains,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1896,BCBA,1896,"Johnson, N. C.","Wharton, G. D.",103,Avett,,,,,
St. Douglass,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1896,BCBA,1896,"Tharp, L. T.","Puryear, J. N.",44,Boydton,,,,,
St. Luke,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1896,BCBA,1896,"Jeffress, J. S.","Young, J. R.",52,Skipwith,,,,,
St. Matthew,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1896,BCBA,1896,"Jeffress, J. S.","Lee, Thomas",90,Jeffress,,,,,
Lone Oak,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1896,BCBA,1896,"Bagby, N. C.","Williams, G. W.",270,Muckross,,,,,
North View,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1896,BCBA,1896,"Bagby, N. C.","Whittle, H. L.",215,North View,,,,,
Shiloh,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1896,BCBA,1896,"Pully, Robert","Evans, H. C.",241,Inca,,,,,
New Hope,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1896,BCBA,1896,"Bagby, N. C.","Noel, J. M.",88,Boydton,,,,,
Cedar Grove,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1896,BCBA,1896,"Ruffin, B. J.","Fields, A. G.",40,Oakley,,,,,
Mt. Olive,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1896,BCBA,1896,"Pool, J. B.","Watkins, Bettie",60,Clarksville,,,,,
Morrison Grove,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1896,BCBA,1896,"Hall, F. L.","Morton, Wm. P.",822,Smithville,,,,,
Union Baptist,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1896,BCBA,1896,"Clark, W.","Hicks, A.",20,Keysville,,,,,
Organ Hill,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1896,BCBA,1896,"Daniel, E.","Daniel, B.",64,Drake's Branch,,,,,
St. Michael,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1896,BCBA,1896,"Hall, F. L.","Dupey, G.",272,Drake's Branch,,,,,
Salem,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1896,BCBA,1896,"Moseley, J.","Taylor, L. R.",500,Red Oak Grove,,,,,
Piney Grove,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1896,BCBA,1896,"Ruffin, B. J.","Smith, J. M.",75,Randolph,,,,,
Shiloh,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1896,BCBA,1896,"Anderson, P. E.","Seymore, F. J.",156,Dupree's Store,,,,,
Mt. Ellis,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1896,BCBA,1896,"Jordan, N.","Bailey, L.",482,Keysville,,,,,
First Baptist Church,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1896,BCBA,1896,"Wilson, L. N.","Barnes, P.",88,Wyllisburg,,,,,
Tussekiah,,LUNENBURG,Virginia,Lunenburg,BCBA Minutes 1896,BCBA,1896,"Almond, J. W. T.","Hicks, P. S.",236,Lunenburg C. H.,,,,,
Mt. Mitchell,,LUNENBURG,Virginia,Lunenburg,BCBA Minutes 1896,BCBA,1896,"Henderson, S. S.","Hankins, L. T.",301,Fort Mitchell,,,,,
New Bethel,,PRINCE EDWARD,Virginia,Prince Edward,BCBA Minutes 1896,BCBA,1896,"Anderson, P. E.","Booker, S. M.",152,Briery,,,,,
Forest,,PRINCE EDWARD,Virginia,Prince Edward,BCBA Minutes 1896,BCBA,1896,"Hall, F. L.","Reed, L. W.",678,Meherrin,,,,,
Bethelehem,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1897,BCBA,1897,"Yancy, R. C.","Davis, C. W.",449,Chase City,,,,,
Mt. Zion,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1897,BCBA,1897,"Pool, J. B.","Somerville, J.",172,Clarksville,,,,,
Lombardy Grove,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1897,BCBA,1897,"Jones, H. H.","Smith, Chas.",88,Smith's X Roads,,,,,
Mt. Pleasant,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1897,BCBA,1897,"Ruffin, B. J.","Walker, John",50,Boydton,,,,,
Berean,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1897,BCBA,1897,"Thomas, J. W.","Burwell, J.",100,Finneywood,,,,,
Greenwood,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1897,BCBA,1897,"Yancy, R. C.","Goode, W. H.",148,Boydton,,,,,
Holly Grove,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1897,BCBA,1897,"Baskerville, J. L.","Hendrick, Glasco",50,Joyceville,,,,,
New Liberty,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1897,BCBA,1897,"Moseley, J.","Hayes, W. H.",342,Jeffress,,,,,
St. Level,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1897,BCBA,1897,"Wilson, L. N.","Carter, H. C.",169,Abbyville,,,,,
Cherry Hill,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1897,BCBA,1897,"Mosley, J.","Pool, J. S.",384,Buffalo Springs,,,,,
Sharon,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1897,BCBA,1897,"Thorpe, L. T.","Barner, J. B.",170,Baskerville,,,,,
Hayes' Grove,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1897,BCBA,1897,"Baskerville, J. L.","Jones, J. A. W.",50,Union Level,,,,,
Jerusalem,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1897,BCBA,1897,"Jones, B. J.","Wartman, J. W.",99,South Hill,,,,,
Mt. Ararat,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1897,BCBA,1897,"Johnson, H. H.","Dodson, Miss A. L.",137,Clarksville,,,,,
St. Mark,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1897,BCBA,1897,"Jeffress, Jas.","Royster, Phil R.",73,Buffalo Springs,,,,,
Rocky Mount,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1897,BCBA,1897,"Ruffin, B. J.","Goode, Annie K.",103,Skipwith,,,,,
St. Paul,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1897,BCBA,1897,"Yancy, R. C.","Goode, A. J.",200,Boydton,,,,,
St. John,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1897,BCBA,1897,"Mosley, J.","Skipwith, Allen",143,Clarksville,,,,,
Bluestone,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1897,BCBA,1897,"Jeffress, James","Roberts, C. J.",317,Chase City,,,,,
Beautiful Plains,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1897,BCBA,1897,"Johnson, N. C.","Wharton, Geo. D.",104,Averettus,,,,,
St. Douglass,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1897,BCBA,1897,"Thorpe, L. T.","Puryear, Jas. N.",51,Boydton,,,,,
St. Luke,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1897,BCBA,1897,"Jeffress, J. S.","Young, J. R.",52,Skipwith,,,,,
St. Matthew,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1897,BCBA,1897,"Jeffress, J. S.","Leigh, Thomas",40,Jeffress,,,,,
Lone Oak,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1897,BCBA,1897,"Bagby, N. C.","Williams, G. W.",151,Muckross,,,,,
North View,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1897,BCBA,1897,"Bagby, N. C.","Whittle, H. L.",210,North View,,,,,
Shiloh,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1897,BCBA,1897,"Pulley, R. C.","Goode, F. W.",245,Inca,,,,,
New Hope,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1897,BCBA,1897,"Bagby, N. C.","Noel, J. M.",84,Phillis,,,,,
Cedar Grove,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1897,BCBA,1897,"Ruffin, B. J.","Field, A. G.",45,Jeffress Junction,,,,,
Mt. Olive,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1897,BCBA,1897,"Pool, J. B.","Scott, J. T.",57,Clarksville,,,,,
Amity,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1897,BCBA,1897,"Bagby, N. C.","Simmons, C. R.",105,South Hill,,,,,
Rocky Branch,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1897,BCBA,1897,"Daniel, Ed.","Doggett, T. D.",,Wyllisbury,,,,,
Morrison Grove,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1897,BCBA,1897,,"Morton, Wm. P.",844,Smithville,,,,,
Union Baptist,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1897,BCBA,1897,"Clark, W.","Hicks, A.",28,Keysville,,,,,
Organ Hill,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1897,BCBA,1897,"Daniel, Edward","Daniel, C. D.",90,Drake's Branch,,,,,
St. Michael,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1897,BCBA,1897,"Hall, F. L.","Dupey, G.",278,Drakes Branch,,,,,
Salem,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1897,BCBA,1897,"Mosley, J.","Pettus, Pearl",525,Red Oak Grove,,,,,
Piney Grove,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1897,BCBA,1897,"Ruffin, Ben. J.","Smith, J. M.",65,Randolph,,,,,
Shiloh,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1897,BCBA,1897,"Anderson, P. E.","Seymore, F. J.",125,Duprees,,,,,
Mt. Ellis,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1897,BCBA,1897,"Jordan, N.","Baily, L.",492,Keysville,,,,,
First Baptist Church,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1897,BCBA,1897,"Wilson, L. N.","Booker, A. C.",64,Wyliesburg,,,,,
Tussekiah,,LUNENBURG,Virginia,Lunenburg,BCBA Minutes 1897,BCBA,1897,,"Gee, C. W.",200,"Lunenburg, C. H.",,,,,
Mt. Mitchell,,LUNENBURG,Virginia,Lunenburg,BCBA Minutes 1897,BCBA,1897,"Johnson, N. C.","Hawkins, L. T.",187,Fort Mitchell,,,,,
New Bethel,,PRINCE EDWARD,Virginia,Prince Edward,BCBA Minutes 1897,BCBA,1897,,"Booker, S. M.",159,Briery,,,,,
Forest,,PRINCE EDWARD,Virginia,Prince Edward,BCBA Minutes 1897,BCBA,1897,"Hall, F. L.","Watkins, Mary H.",705,Meherrin,,,,,
Union Level,,RICHMOND CITY,Virginia,Richmond City,BCBA Minutes 1897,BCBA,1897,"Mosley, J.","Slaughte, Thos.",71,830 Graham St.,,,,,
Mt. Olive,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1897,BCBA,1897,"Ward, John","Lewis, L. A.",25,Smithville,,,,,
Bethlehem,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1898,BCBA,1898,"Yancy, R. C.","Davis SR, C. W.",463,Chase City,,,,,
Mt. Zion,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1898,BCBA,1898,"Pool, J. B.","Somerville, Joseph",222,Clarksville,,,,,
Lombardy Grove,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1898,BCBA,1898,"Thorpe, L. T.","Smith, Chas",112,Smith's X Roads,,,,,
Mt. Pleasant,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1898,BCBA,1898,"Ruffin, B. J.",Walker Johnnir,55,Boydton,,,,,
Berean,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1898,BCBA,1898,"Thomas, J. W.","Burwell, Jerry",194,Finneywood,,,,,
Greenwood,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1898,BCBA,1898,"Yancy, R. C.","Sydnor, Mary A.",151,Boydton,,,,,
Holly Grove,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1898,BCBA,1898,,,,,,,,,
New Liberty,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1898,BCBA,1898,"Mosley, J.","Hayes, W. H.",345,Jeffrees,,,,,
St. Level,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1898,BCBA,1898,"Wilson, L. N.","Carter, H. C.",167,Abbeyville,,,,,
Cherry Hill,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1898,BCBA,1898,"Mosley, J.","Pool, J. S.",348,Buffalo Springs,,,,,
Sharon,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1898,BCBA,1898,"Thorpe, L. T.","Barnes, J. B.",168,Bskerville,,,,,
Hayes Grove,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1898,BCBA,1898,"Baskerville, J. S.","Jones, J. A. W.",98,Union Level,,,,,
Jerusalem,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1898,BCBA,1898,"Jones, B. J.","Wartman, J. W.",90,South Hill,,,,,
Mt. Ararat,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1898,BCBA,1898,"Jeffress, A. E.","Bailey, S. L.",57,Clarksville,,,,,
St. Mark,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1898,BCBA,1898,"Jeffress, Jas.","Daniel, Henry",77,Buffalo Springs,,,,,
Rocky Mount,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1898,BCBA,1898,"Ruffin, B. J.","Goode, Willie A.",108,Skipwith,,,,,
St. Paul,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1898,BCBA,1898,"Yancy, R. C.","Goode, A. J.",209,Boydton,,,,,
St. John,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1898,BCBA,1898,"Mosley, J.","Skipwith, Allen",154,Clarksville,,,,,
Bluestone,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1898,BCBA,1898,"Jeffress, Jas.","Powell, J. L.",322,Hanford,,,,,
Beautiful Plains,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1898,BCBA,1898,"Wharton, G. D.","Pointer, Mrs. Sallie L.",112,Averett,,,,,
St. Douglass,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1898,BCBA,1898,"Sallie, W. H.","Puryear, Jas. N.",47,Boydton,,,,,
St. Luke,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1898,BCBA,1898,"Jeffress, Jas.","Young, J. R.",72,Skipwith,,,,,
St. Matthew,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1898,BCBA,1898,"Jeffres, Jas","Burwell, Gran",48,Oakley,,,,,
Lone Oak,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1898,BCBA,1898,"Bagley, N.C.","Williams, G. W.",145,Muckross,,,,,
North View,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1898,BCBA,1898,"Bagley, N.C.","Whittle, H. L.",180,North View,,,,,
Shiloh,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1898,BCBA,1898,"Ruffin, B. J.","Goode, F. W.",200,Inca,,,,,
New Hope,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1898,BCBA,1898,"Bagley, N.C.","Noel, J. M.",92,Phillis,,,,,
Cedar Grove,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1898,BCBA,1898,"Ruffin, B. J.","Field, A. G.",50,Orgainsville,,,,,
Mt. Olive,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1898,BCBA,1898,"Pool, J. B.","Scott, J.",59,Clarksville,,,,,
Amity,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1898,BCBA,1898,"Bagley, N.C.","Simmons, C. R.",127,South Hill,,,,,
Rocky Branch,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1898,BCBA,1898,"Daniel, Eddie","Lee, Pinkie",22,Wylesburg,,,,,
Morrison Grove,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1898,BCBA,1898,,,853,Smithville,,,,,
Union Baptist,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1898,BCBA,1898,"Clark, W.","Wilson, M. T.",29,Keysville,,,,,
Organ Hill,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1898,BCBA,1898,"Daniel, Eddie","Daniel, C. B.",99,Drakes Branch,,,,,
St. Michael,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1898,BCBA,1898,"Hall, F. L.","Roberts, Wilie W.",196,Drakes Branch,,,,,
Salem,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1898,BCBA,1898,"Mosley, J.","Pettus, Mrs. Pearl",499,Red Oak Grove,,,,,
Piney Grove,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1898,BCBA,1898,,"Hamlet, Elisha",100,Randolph,,,,,
Shiloh,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1898,BCBA,1898,"Anderson, P. E.","Seymore, F. J.",132,Duprees,,,,,
Mt. Ellis,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1898,BCBA,1898,"Jordan, N.","Bailey, L.",493,Keysville,,,,,
First Baptist Church,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1898,BCBA,1898,"Wilson, L. N.","Booker, A. C.",90,Wylesburg,,,,,
Tussekiah,,LUNENBURG,Virginia,Lunenburg,BCBA Minutes 1898,BCBA,1898,,"Gee, Chas W.",175,"Lunenburg, C. H.",,,,,
Mt. Mitchell,,LUNENBURG,Virginia,Lunenburg,BCBA Minutes 1898,BCBA,1898,"Johnson, N. C.","Hankins, L. T.",198,Ft. Mitchell,,,,,
New Bethel,,PRINCE EDWARD,Virginia,Prince Edward,BCBA Minutes 1898,BCBA,1898,"Almond, J. W.","Booker, S. M.",185,Briery,,,,,
Forest,,PRINCE EDWARD,Virginia,Prince Edward,BCBA Minutes 1898,BCBA,1898,"Hall, F. L.","Watkins, Mary H.",550,Meherrin,,,,,
Union Level,,RICHMOND CITY,Virginia,Richmond City,BCBA Minutes 1898,BCBA,1898,"Hobl, P. C.","Wilson, James",80,830 Dearbe'n st Fulton,,,,,
Mt. Olive,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1898,BCBA,1898,"Ward, John","Lewis, T. A.",26,Recesses,,,,,
