NAME OF CHURCH,CITY,COUNTY,STATE,"CITY, COUNTY, STATE",SOURCE,ASSOCIATION,YEAR,PASTOR,CLERK,# OF MEMBERS,POST OFFICE,YEAR ORGANIZED,DELEGATES,DELEGATES,DELEGATES,DELEGATES
Rocky Mount,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1884,BCBA,1884,"Brown, J. W.","Goode, L. W.",43,Skipwith,,,,,
Sharon,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1884,BCBA,1884,"Miller, W. T.","Gregory, H.",215,Boydton,,,,,
Shiloh,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1884,BCBA,1884,"Jones, J. E.","Goode, F. W.",460,Boydton,,,,,
St. John,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1884,BCBA,1884,"Moseley, Jordan","Skipwith, V. L.",175,Clarksville,,,,,
St. Level,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1884,BCBA,1884,"Brown, J. W.","Wilson, L. N.",100,Abbyville,,,,,
St. Mark,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1884,BCBA,1884,"Jeffress, J. W.","Venable, J. H.",20,Buffalo Springs,,,,,
St. Matthew,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1884,BCBA,1884,"Coleman, H. H.","Deadman, George",94,Oakley,,,,,
St. Paul,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1884,BCBA,1884,"Ranson, J. M.","Bowers, J. A.",124,Boydton,,,,,
Forest,,PRINCE EDWARD,,Prince Edward,BCBA Minutes 1884,BCBA,1884,"Braxton, C.","Anderson, P. E. ",328,Meherrin,,,,,
New Bethel,,PRINCE EDWARD,,Prince Edward,BCBA Minutes 1884,BCBA,1884,"Almond, John","Anderson, P. E. ",93,Meherrin,,,,,
First Baptist Church,,CHARLOTTE,,Charlotte,BCBA Minutes 1885,BCBA,1885,"Wilson, L. N.",Elam John,15,Wyliesburg,N/A,,,,
Morrison Grove,,CHARLOTTE,,Charlotte,BCBA Minutes 1885,BCBA,1885,"Matthews, J. B.","Morton, William P.",652,Smithville,N/A,,,,
