FID,NAME,JURISTYPE,LOCATIONS,VACONCONV_1869_DELEGATE,CD4_1878,CD4_1880,CD4_1882,CD4_1884,CD4_1886,CD4_1888,BBA_1882,BBA_1882_CH,BBA_1882_MEM,BBA_1885,BBA_1885_CH,BBA_1885_MEM,BBA_1886,BBA_1886_CH,BBA_1886_MEM,BBA_1887,BBA_1887_CH,BBA_1887_MEM,BBA_1888,BBA_1888_CH,BBA_1888_MEM,BBA_1889,BBA_1889_CH,BBA_1889_MEM,BCBA_1871_CH,BCBA_1871_MEM,BCBA_1873_CH,BCBA_1873_MEM,BCBA_1880_CH,BCBA_1880_MEM,BCBA_1884_CH,BCBA_1884_MEM,BCBA_1885_CH,BCBA_1885_MEM,BCBA_1886_CH,BCBA_1886_MEM,BCBA_1887_CH,BCBA_1887_MEM,BCBA_1888_CH,BCBA_1888_MEM,BCBA_1889_CH,BCBA_1889_MEM,BCBA_1890_CH,BCBA_1890_MEM,VBSC_1867_CH,VBSC_1867_MEM,VBSC_1868_CH,VBSC_1868_MEM,VBSC_1879_CH,VBSC_1879_MEM,VBSC_1880_CH,VBSC_1880_MEM,VBSC_1881_CH,VBSC_1881_MEM,VBSC_1882_CH,VBSC_1882_MEM,VBSC_1883_CH,VBSC_1883_MEM,VBSC_1884_CH,VBSC_1884_MEM,VBSC_1885_CH,VBSC_1885_MEM,VBSC_1886_CH,VBSC_1886_MEM,VBSC_1887_CH,VBSC_1887_MEM,VBSC_1888_CH,VBSC_1888_MEM,VBSC_1889_CH,VBSC_1889_MEM,VBSC_1890_CH,VBSC_1890_MEM,CSBA_1881_CH,CSBA_1881_MEM,NNBA_1881_CH,IPUMS_ID_Number_Location,CONG_DIST_NUMBER_1880,NUMBER_VOTES_GOVERNOR_DEMOCRAT_1881 _V327,NUMBER_VOTES_GOVERNOR_READJUSTER_1881 _V328,TOT_VOTE_GOV_1881 _V329,PERCENT_VOTES_DEM_1881,PERCENT_VOTES_REP_1881,MC_TOT_CH_1883,MC_B_CH_1883,MC_M_CH_1883,MC_O_CH_1883,MC_NUM_NAMES_1883,MC_NOTES_1883,DELEGATE_VA_HOUSE,DELEGATE_VA_HOUSE_TERM,SUPPORT_REP_1881,SUPPORT_REP_1885,SUPPORT_REP_1877
73,Gloucester,County,Gloucester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,528,2,680,2,709,1,577,1,619,1,781,1,830,,,,730,1,927,777,1704,54,46,,,,,,,,,,Y,
74,Goochland,County,Goochland,"Mosely, William",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,172,1,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,7,637,868,1505,42,58,,,,,,,,,Y,Y,
75,Grayson,County,Grayson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,770,5,626,1361,1987,32,68,,,,,,,,,Y,,
76,Greene,County,Greene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,310,,,,,,,,,,,,,,,,,,,,,,,1,372,,790,7,398,496,894,45,55,,,,,,,,,Y,,
77,Greensville,County,Greensville,"Jones, Peter",X,X,X,X,,,X,5,2180,X,6,2425,X,6,794,X,7,2395,X,7,2468,X,7,2532,,,,,,,,,,,,,,,,,,,,,,,,,1,750,,,,,,,1,930,2,,1,1196,,,,,,,,,,,,,,810,4,349,853,1202,29,71,6,0,0,6,,,,,Y,Y,
78,Halifax,County,Halifax,"Canada, David",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,90,1,89,4,997,3,1387,8,2582,2,398,,,4,876,2,916,1,375,2,826,,,,830,5,2226,2197,4423,50,50,29,0,0,29,,,,,,,
79,Hanover,County,Hanover,"Toler, Burwell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,200,1,255,1,122,1,240,1,144,1,185,3,368,,850,3,1376,878,2254,61,39,18,11,7,0,,,,,,,
80,Henrico,County,Henrico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4084,1,4148,7,9331,7,9022,7,7417,10,10406,7,9311,7,9131,9,10538,6,6135,7,6872,9,9168,9,9308,10,11973,11,9577,,870,3,1249,1538,2787,45,55,3,3,0,0,,,,,Y,Y,
81,Henry,County,Henry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890,5,1005,1125,2130,47,53,4,0,0,4,,,,,Y,,
82,Highland,County,Highland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,910,7,330,490,820,40,60,,,,,,,,,Y,,
